"link_source","link_target","link_value"
11,7,0.00910778668675671
11,8,0.0165608351719313
11,9,0.0217806597427757
11,10,0.410859387612334
11,11,0.019439810579562
11,12,0.00427810364311467
11,13,0.0237044610665662
11,14,0.019789592638433
11,15,0.000282516278318894
11,16,0.0394581068718721
12,0,0.13638943155167
12,1,0.0430743115994797
12,2,0.0285303910687471
12,3,0.0168842060857469
12,4,0.0051375796626172
12,5,0.0147498254829978
12,6,0.00786456476212956
12,7,0.00698570216099758
12,8,0.0278021906278092
12,9,0.0121232818236148
12,10,0.00886395709141678
12,11,0.652045741031835
12,12,0.0047559021901256
12,13,0.0267626217224703
12,14,0.00628763415209847
12,15,0.000341500896439853
12,16,0.00140115808980469
13,0,0.018125074270275
13,1,0.00119457873900018
13,2,0.0037588577075346
13,3,0.0112640644447085
13,4,0.000619179555816848
13,5,0.00938776276041504
13,6,0.0527741120402279
13,7,0.0152793500490966
13,8,0.0234412623757732
13,9,0.000662959928450363
13,10,0.00195135375166522
13,11,0.00389645316438279
13,12,0.744316369481328
13,13,0.113140991562897
13,14,0.000100069423162319
13,15,7.50520673717392e-05
13,16,1.25086778952899e-05
14,0,0.0836371250987522
14,1,0.0153212578089554
14,2,0.00811274719765977
14,3,0.010638264119575
14,4,0.00179895489287176
14,5,0.00691661669569742
14,6,0.0106033637601013
14,7,0.00474962164837571
14,8,0.00466395712966753
14,9,0.00302998575430781
14,10,0.00412458793780121
14,11,0.00908995726292344
14,12,0.0308741270944182
14,13,0.80141378183468
14,14,0.00262704524038416
14,15,0.00162128033555109
14,16,0.000777326188277921
15,0,0.0783745204746186
15,1,0.110469265768579
15,2,0.0537068427156749
15,3,0.0232625568739406
15,4,0.0554688196984566
15,5,0.146645552680881
15,6,0.0454322419484343
15,7,0.00956820412168793
15,8,0.0044830047283433
15,9,0.0635649924168079
15,10,0.0480417521634401
15,11,0.0252029619056116
15,12,0.00144972789722544
15,13,0.0302212507806227
15,14,0.299982157195111
15,15,0.00064680167722366
15,16,0.00347934695334107
16,0,0.02854546205643
16,1,0.00929483207336721
16,2,0.00132193167265667
16,3,0.00190027677944396
16,4,0.00582476143264345
16,5,0.0118560746891395
16,6,0.00111537984880406
16,7,0.000660965836328335
16,8,0.000784896930639898
16,9,0.00202420787375553
16,10,0.000743586565869377
16,11,0.00206551823852605
16,12,0.000371793282934688
16,13,0.016730697732061
16,14,0.00185896641467344
16,15,0.914818027843186
16,16,8.26207295410419e-05
0,0,0.273155994399823
0,1,0.0577702453761698
